Sample,Photo,Pixels,Area,Treatment,Time,Experiment
C1T0,C1T0_13,629,2.796,Control,Start,Control Start
C1T0,C1T0_13,396,1.76,Control,Start,Control Start
C1T0,C1T0_13,265,1.178,Control,Start,Control Start
C1T0,C1T0_13,82,0.364,Control,Start,Control Start
C1T0,C1T0_13,36,0.16,Control,Start,Control Start
C1T0,C1T0_13,421,1.871,Control,Start,Control Start
C1T0,C1T0_13,36,0.16,Control,Start,Control Start
C1T0,C1T0_13,77,0.342,Control,Start,Control Start
C1T0,C1T0_13,52,0.231,Control,Start,Control Start
C1T0,C1T0_13,11,0.049,Control,Start,Control Start
C1T0,C1T0_13,259,1.151,Control,Start,Control Start
C1T0,C1T0_13,440,1.956,Control,Start,Control Start
C1T0,C1T0_13,95,0.422,Control,Start,Control Start
C1T0,C1T0_13,71,0.316,Control,Start,Control Start
C1T0,C1T0_13,72,0.32,Control,Start,Control Start
C1T0,C1T0_13,51,0.227,Control,Start,Control Start
C1T0,C1T0_13,77,0.342,Control,Start,Control Start
C1T0,C1T0_13,16,0.071,Control,Start,Control Start
C1T0,C1T0_13,63,0.28,Control,Start,Control Start
C1T0,C1T0_13,181,0.804,Control,Start,Control Start
C1T0,C1T0_13,206,0.916,Control,Start,Control Start
C1T0,C1T0_13,98,0.436,Control,Start,Control Start
C1T0,C1T0_13,358,1.591,Control,Start,Control Start
C1T0,C1T0_13,560,2.489,Control,Start,Control Start
C1T0,C1T0_13,99,0.44,Control,Start,Control Start
C1T0,C1T0_13,209,0.929,Control,Start,Control Start
C1T0,C1T0_13,186,0.827,Control,Start,Control Start
C1T0,C1T0_13,101,0.449,Control,Start,Control Start
C1T0,C1T0_13,49,0.218,Control,Start,Control Start
C1T0,C1T0_13,101,0.449,Control,Start,Control Start
C1T0,C1T0_13,26,0.116,Control,Start,Control Start
C1T0,C1T0_13,419,1.862,Control,Start,Control Start
C1T0,C1T0_13,34,0.151,Control,Start,Control Start
C1T0,C1T0_13,183,0.813,Control,Start,Control Start
C1T0,C1T0_13,36,0.16,Control,Start,Control Start
C1T0,C1T0_13,277,1.231,Control,Start,Control Start
C1T0,C1T0_13,41,0.182,Control,Start,Control Start
C1T0,C1T0_13,96,0.427,Control,Start,Control Start
C1T0,C1T0_13,69,0.307,Control,Start,Control Start
C1T0,C1T0_13,218,0.969,Control,Start,Control Start
C1T0,C1T0_13,314,1.396,Control,Start,Control Start
C1T0,C1T0_13,297,1.32,Control,Start,Control Start
C1T0,C1T0_13,214,0.951,Control,Start,Control Start
C1T0,C1T0_13,174,0.773,Control,Start,Control Start
C1T0,C1T0_13,21,0.093,Control,Start,Control Start
C1T0,C1T0_13,23,0.102,Control,Start,Control Start
C1T0,C1T0_13,96,0.427,Control,Start,Control Start
C1T0,C1T0_13,286,1.271,Control,Start,Control Start
C1T0,C1T0_13,78,0.347,Control,Start,Control Start
C1T0,C1T0_13,18,0.08,Control,Start,Control Start
C1T0,C1T0_13,120,0.533,Control,Start,Control Start
C1T0,C1T0_13,35,0.156,Control,Start,Control Start
C1T0,C1T0_13,226,1.004,Control,Start,Control Start
C1T0,C1T0_13,40,0.178,Control,Start,Control Start
C1T0,C1T0_13,231,1.027,Control,Start,Control Start
C1T0,C1T0_13,327,1.453,Control,Start,Control Start
C1T0,C1T0_13,532,2.364,Control,Start,Control Start
C1T0,C1T0_13,60,0.267,Control,Start,Control Start
C1T0,C1T0_13,82,0.364,Control,Start,Control Start
C1T0,C1T0_13,88,0.391,Control,Start,Control Start
C1T0,C1T0_13,13,0.058,Control,Start,Control Start
C1T0,C1T0_13,97,0.431,Control,Start,Control Start
C1T0,C1T0_13,47,0.209,Control,Start,Control Start
C1T0,C1T0_13,143,0.636,Control,Start,Control Start
C1T0,C1T0_13,110,0.489,Control,Start,Control Start
C1T0,C1T0_13,45,0.2,Control,Start,Control Start
C1T0,C1T0_13,14,0.062,Control,Start,Control Start
C1T0,C1T0_13,68,0.302,Control,Start,Control Start
C1T0,C1T0_13,1043,4.636,Control,Start,Control Start
C1T0,C1T0_13,367,1.631,Control,Start,Control Start
